Frequency (Hz),Real,Imag,Magnitude,Magnitude (dB)
0.0,1.106100668025489e-11,0.0,2.2122013360509778e-15,-239.98080628569915
1.0,6.495630144325549e-12,3.6002969762675446e-13,1.301120015295191e-15,-239.98870596099908
2.0,1.1695186516924434e-11,3.3661962106634746e-13,2.3400059866157432e-15,-239.9796987095657
3.0,7.243907453706297e-12,8.433477599473853e-12,2.223490405814146e-15,-239.98070844707604
4.0,1.3530275268167855e-11,-3.67746635941903e-12,2.8042261510588147e-15,-239.97567688896694
5.0,1.0638816573792198e-11,1.537316487407227e-11,3.739083397498403e-15,-239.96758330093542
6.0,2.6740318323981012e-11,-1.1709466729570295e-11,5.838343036029137e-15,-239.9494362577465
7.0,4.415963798098885e-11,8.327447085927209e-11,1.885174912150461e-14,-239.83778009263827
8.0,-8.945219621032033e-11,4.786003765640858e-11,2.02901735934639e-14,-239.8255259202834
9.0,-1.5734530383598183e-11,-3.8063249309954467e-11,8.23744230795973e-15,-239.9287435693044
10.0,-1.5966028714579436e-11,8.975931109489466e-12,3.663230335084464e-15,-239.9682397227445
11.0,-6.788334893872713e-12,-1.4916245730620743e-11,3.277656951711886e-15,-239.9715771881554
12.0,-7.314824836578447e-12,5.653121725546231e-12,1.8489396705535603e-15,-239.98395514249424
13.0,-4.344348453936689e-12,-1.3256868295986552e-11,2.7901105390744325e-15,-239.97579915362
14.0,-5.476372122946555e-12,3.148253277266482e-12,1.2633629775611649e-15,-239.9890334944849
15.0,-2.8328173952837015e-12,-8.07638717185414e-12,1.7117579752372943e-15,-239.9851445699662
16.0,-3.774251948650648e-12,4.596729578473808e-12,1.1895360539220187e-15,-239.9896739614958
17.0,-2.4711015815414444e-12,-1.0986828561125458e-11,2.2522588204543344e-15,-239.98045912575128
18.0,-3.85764095098494e-12,1.8887204975775296e-12,8.590380393134055e-16,-239.99254169342169
19.0,-2.0414980285496875e-12,-4.412207462102099e-12,9.723227630617665e-16,-239.99155861499813
20.0,-2.9600920700699867e-12,2.8046936810753826e-12,8.155599722388392e-16,-239.99291902317623
21.0,-4.3006863779424065e-13,-4.845740894652843e-12,9.729576321983425e-16,-239.9915531059532
22.0,-3.104865905844062e-12,4.664352878181322e-13,6.279412128852462e-16,-239.99454748367643
23.0,-1.7763741354745937e-12,-3.5773557178462876e-12,7.988236100965129e-16,-239.99306427612373
24.0,4.2372450850211767e-13,7.61377646357852e-12,1.525111595870251e-15,-239.98676314027293
25.0,-5.519563714074742e-12,-1.4238781705379702e-11,3.054233049701258e-15,-239.973511698964
